question_id,new_cognitive_level,basis
360,CLINICAL_APPLICATION,clinical-interpretation
361,FOUNDATION,healing-stage/fact
362,FOUNDATION,framework/fact
363,CLINICAL_APPLICATION,framework-application
364,CLINICAL_APPLICATION,clinical-evaluation
365,FOUNDATION,scale/population
366,CLINICAL_REASONING_ANALYSIS,clinical-interpretation
367,CLINICAL_REASONING_ANALYSIS,pathophysiology
368,CLINICAL_APPLICATION,lab-interpretation
369,CLINICAL_REASONING_ANALYSIS,pathophysiology
370,CLINICAL_APPLICATION,priority-assessment
371,CLINICAL_APPLICATION,treatment-selection
372,FOUNDATION,safety/fact
373,CLINICAL_APPLICATION,treatment-selection
374,CLINICAL_APPLICATION,treatment-selection
375,CLINICAL_APPLICATION,treatment-selection
376,CLINICAL_APPLICATION,prevention-intervention
377,CLINICAL_APPLICATION,contraindication-selection
378,FOUNDATION,procedure/principle
379,CLINICAL_APPLICATION,monitoring-escalation
380,CLINICAL_APPLICATION,treatment-strategy
381,FOUNDATION,medication/fact
382,FOUNDATION,adverse-effect/fact
383,CLINICAL_APPLICATION,treatment-selection
384,FOUNDATION,healing-stage/fact
385,FOUNDATION,classification/fact
386,CLINICAL_REASONING_ANALYSIS,pathophysiology
387,FOUNDATION,classification/fact
388,FOUNDATION,procedure/classification
389,FOUNDATION,classification/fact
390,FOUNDATION,anesthesia/fact
391,CLINICAL_APPLICATION,clinical-recognition
392,FOUNDATION,frequency/fact
393,FOUNDATION,complication/fact
394,FOUNDATION,medication-safety/fact
395,CLINICAL_REASONING_ANALYSIS,mechanism/risk
396,FOUNDATION,protocol/fact
397,FOUNDATION,safety/protocol
398,CLINICAL_APPLICATION,perioperative-care
399,CLINICAL_APPLICATION,priority-assessment
400,CLINICAL_APPLICATION,score-application
401,FOUNDATION,scale/fact
402,CLINICAL_APPLICATION,escalation-action
403,FOUNDATION,complication/fact
404,CLINICAL_APPLICATION,safety-action
405,CLINICAL_APPLICATION,postoperative-intervention
406,FOUNDATION,nursing-process/concept
407,FOUNDATION,classification/fact
408,CLINICAL_REASONING_ANALYSIS,drug-interaction
409,CLINICAL_APPLICATION,assessment-purpose
410,CLINICAL_APPLICATION,care-coordination
411,CLINICAL_APPLICATION,clinical-recognition
412,FOUNDATION,definition/purpose
413,CLINICAL_APPLICATION,clinical-interpretation
414,FOUNDATION,workflow/principle
415,FOUNDATION,score/fact
416,FOUNDATION,rate/fact
417,FOUNDATION,definition/criteria
418,FOUNDATION,classification/fact
419,FOUNDATION,mechanism/fact
420,CLINICAL_REASONING_ANALYSIS,pathophysiology
421,FOUNDATION,pharmacology/fact
422,FOUNDATION,timing/fact
423,CLINICAL_REASONING_ANALYSIS,differential-comparison
424,CLINICAL_APPLICATION,clinical-classification
425,CLINICAL_APPLICATION,clinical-classification
426,CLINICAL_REASONING_ANALYSIS,pharmacology/mechanism
427,FOUNDATION,dose/fact
428,FOUNDATION,protocol/timing
429,CLINICAL_APPLICATION,treatment-selection
430,FOUNDATION,diagnostic-criteria
431,CLINICAL_APPLICATION,resuscitation-intervention
432,FOUNDATION,medication-role
433,CLINICAL_APPLICATION,patient-positioning
434,FOUNDATION,monitoring-protocol
435,CLINICAL_APPLICATION,priority-intervention
436,CLINICAL_APPLICATION,outcome-target
437,FOUNDATION,medication-safety
438,CLINICAL_REASONING_ANALYSIS,pharmacology/mechanism
439,FOUNDATION,monitoring-target
440,FOUNDATION,etiology/fact
441,CLINICAL_REASONING_ANALYSIS,mechanism/risk
442,CLINICAL_APPLICATION,health-education
443,FOUNDATION,reporting/protocol
444,FOUNDATION,equipment/fact
445,FOUNDATION,clinical-feature
446,CLINICAL_APPLICATION,clinical-classification
447,FOUNDATION,definition/concept
448,CLINICAL_REASONING_ANALYSIS,pathophysiology
449,FOUNDATION,classification/fact
450,FOUNDATION,sign/fact
451,CLINICAL_REASONING_ANALYSIS,mechanism/risk
452,FOUNDATION,diagnostic-rule
453,CLINICAL_APPLICATION,diagnostic-next-step
454,CLINICAL_APPLICATION,priority-assessment
455,FOUNDATION,procedure/principle
456,FOUNDATION,procedure/fact
457,CLINICAL_APPLICATION,clinical-safety
458,CLINICAL_APPLICATION,transport-selection
459,FOUNDATION,complication/fact
460,FOUNDATION,procedure/fact
461,CLINICAL_APPLICATION,treatment-selection
462,FOUNDATION,complication/classification
463,FOUNDATION,quantity/fact
464,CLINICAL_REASONING_ANALYSIS,pathophysiology
465,FOUNDATION,sign/fact
466,FOUNDATION,triad/fact
467,CLINICAL_REASONING_ANALYSIS,pathophysiology
468,FOUNDATION,triad/fact
469,FOUNDATION,sign/fact
470,CLINICAL_APPLICATION,priority-intervention
471,CLINICAL_APPLICATION,clinical-interpretation
472,CLINICAL_APPLICATION,rehabilitation-intervention
473,FOUNDATION,prevention/purpose
474,FOUNDATION,complication/fact
475,FOUNDATION,imaging/sign
476,CLINICAL_APPLICATION,health-education
477,FOUNDATION,definition/concept
478,CLINICAL_REASONING_ANALYSIS,anatomy/mechanism
479,FOUNDATION,anatomy/fact
480,CLINICAL_REASONING_ANALYSIS,pathophysiology
481,FOUNDATION,quantity/fact
482,CLINICAL_REASONING_ANALYSIS,pathophysiology
483,CLINICAL_APPLICATION,clinical-interpretation
484,FOUNDATION,physiology/fact
485,FOUNDATION,microbiology/fact
486,CLINICAL_APPLICATION,clinical-interpretation
487,FOUNDATION,etiology/fact
488,CLINICAL_APPLICATION,clinical-inference
489,FOUNDATION,timing/fact
490,CLINICAL_REASONING_ANALYSIS,pathophysiology
491,CLINICAL_REASONING_ANALYSIS,pathophysiology
492,CLINICAL_REASONING_ANALYSIS,pathophysiology
493,CLINICAL_APPLICATION,clinical-interpretation
494,CLINICAL_APPLICATION,clinical-interpretation
495,CLINICAL_APPLICATION,physical-assessment
496,CLINICAL_APPLICATION,imaging-interpretation
497,FOUNDATION,diagnostic-test/fact
498,CLINICAL_APPLICATION,lab-interpretation
499,CLINICAL_REASONING_ANALYSIS,pathophysiology
500,CLINICAL_APPLICATION,priority-intervention
501,CLINICAL_APPLICATION,treatment-selection
502,CLINICAL_APPLICATION,treatment-selection
503,CLINICAL_APPLICATION,clinical-interpretation
504,CLINICAL_APPLICATION,priority-intervention
505,FOUNDATION,monitoring-protocol
506,CLINICAL_APPLICATION,postoperative-intervention
507,FOUNDATION,classification/fact
508,FOUNDATION,anatomy/fact
509,FOUNDATION,etiology/fact
510,FOUNDATION,age/fact
511,CLINICAL_REASONING_ANALYSIS,pathophysiology
512,CLINICAL_REASONING_ANALYSIS,clinical-inference
513,FOUNDATION,sign/fact
514,CLINICAL_REASONING_ANALYSIS,pathophysiology
515,FOUNDATION,frequency/fact
516,FOUNDATION,anatomy/sign
517,FOUNDATION,physical-sign
518,FOUNDATION,physical-sign
519,FOUNDATION,physical-sign
520,FOUNDATION,physical-sign
521,FOUNDATION,physical-exam
522,CLINICAL_APPLICATION,lab-interpretation
523,FOUNDATION,complication/definition
524,CLINICAL_APPLICATION,clinical-interpretation
525,CLINICAL_APPLICATION,treatment-selection
526,FOUNDATION,procedure/comparison
527,CLINICAL_REASONING_ANALYSIS,pathophysiology
528,FOUNDATION,rate/fact
529,CLINICAL_APPLICATION,patient-positioning
530,CLINICAL_APPLICATION,clinical-safety
531,CLINICAL_APPLICATION,monitoring-target
532,CLINICAL_APPLICATION,postoperative-intervention
533,CLINICAL_APPLICATION,care-progression
534,CLINICAL_APPLICATION,clinical-recognition
535,CLINICAL_APPLICATION,discharge-education
536,CLINICAL_REASONING_ANALYSIS,pathophysiology
537,FOUNDATION,definition/concept
538,FOUNDATION,anatomy/classification
539,CLINICAL_REASONING_ANALYSIS,pathophysiology
540,CLINICAL_APPLICATION,clinical-interpretation
541,CLINICAL_REASONING_ANALYSIS,pathophysiology
542,CLINICAL_REASONING_ANALYSIS,pathophysiology
543,CLINICAL_REASONING_ANALYSIS,pathophysiology
544,FOUNDATION,threshold/fact
545,CLINICAL_APPLICATION,clinical-classification
546,CLINICAL_REASONING_ANALYSIS,pathophysiology
547,FOUNDATION,diagnostic-test/fact
548,CLINICAL_APPLICATION,treatment-purpose
549,FOUNDATION,threshold/protocol
550,CLINICAL_REASONING_ANALYSIS,risk-mechanism
551,CLINICAL_APPLICATION,treatment-selection
552,FOUNDATION,clinical-sign
553,CLINICAL_APPLICATION,clinical-assessment
554,CLINICAL_APPLICATION,priority-intervention
555,CLINICAL_APPLICATION,risk-recognition
556,FOUNDATION,monitoring-target
557,CLINICAL_APPLICATION,clinical-intervention
558,FOUNDATION,protocol/fact
559,CLINICAL_APPLICATION,outcome-assessment
560,CLINICAL_APPLICATION,clinical-intervention
561,CLINICAL_APPLICATION,nutrition-intervention
562,CLINICAL_APPLICATION,prevention-intervention
563,CLINICAL_APPLICATION,clinical-recognition
564,CLINICAL_APPLICATION,resuscitation-intervention
565,CLINICAL_APPLICATION,clinical-interpretation
566,FOUNDATION,threshold/fact
